"syll","perf","perfword","allow","allowword"
"one","one, own","prone, bone, drone, throne, alone, stone, tone, lone, zone, atone, enthrone, dethrone, postpone, grown, flown, disown, thrown, sown, own, loan, shown, overthrown, grown, blown, moan, known","awn, on, un, oon","dawn, lawn, on, con, none, bun, dun, moon, boon"
"ong","ong","long, prong, song, thong, strong, throng, wrong, along, belong, prolong","ung","bung, among, hung"
"ongue","ung, ongue","clung, dung, flung, hung, rung, strung, sung, sprung, slung, stung, swung, wrung, unsung, young, tongue, among","ong","song, long"
"onk","onk, unk","drunk, sunk, shrunk, stunk, spunk, punk, trunk, slunk, monk",NA,NA
"onse","onse","sconse, ensconse","once","once, nonce, askaunce"
"ont","ont","font, want","unt, ont","front, affront, confront, punt, runt, don't, won't"
"oo","oo, ew,","coo, woo, shoe, two, too, who, do, ado, undo, through, you, true, blue, flew, stew","ow","know, blow, go, toe"
"ood","ood, oo'd, ooed","brood, mood, food, rood, coo'd, woo'd, cooed, wooed","ood, ude, ew'd, ewed, u'd, ued, ud, ow'd, owed, od","wood, good, hood, stood, withstood, understood, brotherhood, livelihood, likelihood, neighbourhood, widowhood, blood, flood, feud, illude, habitude, brew'd, stew'd, brewed, stewed, imbu'd, subdu'd, imbued, subdued, bud, mud, would, could, should, wou'd, cou'd, shou'd, ode, code, crow'd, row'd, crowed, rowed, nod, hod"
"oof","oof","hoof, proof, roof, woof, aloof, disproof, reproof, behoof","uff, ough, off","huff, ruff, rough, enough, off, scoff"
"ook","ook","book, brook, cook, crook, hook, look, rook, shook, took, mistook, undertook, forsook, betook","uke, uck, oke","puke, fluke, duck, luck, broke, spoke"
"ool","ool","cool, fool, pool, school, stool, tool, befool","ule, ull, ole","pule, rule, dull, gull, bull, pull, pole, hole"
"oom","oom","gloom, groom, loom, room, spoom, bloom, doom, tomb, entomb, Rome, whom, womb","ome, dum, omb, ume","come, drum, bomb, thumb, clomb, plume, spume, from, home, comb"
"oon","oon","boon, soon, moon, noon, spoon, swoon, buffoon, lampoon, poltroon","une, un, one, oan","tune, prune, bun, dun, gone, don, bone, alone, moan, roan, prone, drone, throne, stone, tone, lone, zone, atone, enthrone, dethrone, postpone, grown, flown, disown, thrown, sown, own, loan, shown, overthrown, grown, blown, moan, known"
"oop","oop","loop, poop, scoop, stoop, troop, droop, whoop, coop, hoop, soup, groupe","upe, up, op, ope","dupe, up, sup, tup, cop, top, cope, hope"
"oor","oor","boor, poor, moore, tour, amour, paramour, contour","ore, ure, our, oor, ur, ir","bore, pore, pure, sure, your, pour, door, floor, bur, cur, sir, stir"
"oose","oose, use, uce","goose, loose, deuce, use, profuse, seduce","ose, us, oss","dose, jocose, globose, moss, toss, us, pus, thus"
"oot","oot, uit, ute","root, boot, coot, hoot, shoot, suit, fruit, lute, impute","ote, oat, ut, oot, ot","rote, vote, goat, coat, but, hut, soot, foot, put, hot, got"
"ooth","ooth","booth, sooth, smooth","ooth, outh","tooth, youth, sooth, uncouth, forsooth"
"ooze","ooze","ooze, nooze, whose, choose, lose, use, abuse","ose, oes, ows, ues","doze, hose, buzz, does, foes, goes, throws, views, imbues, flues"
"op","op","chop, hop, drop, crop, fop, top, pop, prop, flop, shop, slop, sop, stop, swap, top, underprop","ope, up, oop","cope, trope, hope, tup, sup, coop"
"ope","ope","sope, hope, cope, mope, grope, pope, rope, scope, slope, tope, trope, aslope, elope, interlope, telescope, heliotrope, horoscope, antelope, ope","oope, op, up","hoop, coop, lop, top, tup, sup"
"opt","opt, opp'd, opped","adopt, hopp'd, lopp'd, hopped, lopped","op'd, oop'd, upp'd, oped, ooped, upped","cop'd, dup'd, hoop'd, cupp'd, coped, duped, hooped, cupped"
"or","or","or, for, creditor, counsellor, confessor, competitor, emperor, ancestor, ambassador, progenitor, conspirator, successor, conqueror, governor, abhor, metaphor, bachelor, senator, abhor, orator","ore, oar, ure, ur, ir","bore, tore, boar, hoar, purr, endure, pur, demur, stir, sir"
"orch","orch","scorch, torch","irch, urch, orch","birch, smirch, church, porch"
"orce","orce, orse, ourse, oarse, ource","force, divorce, enforce, perforce, corse, coarse, hoarse, course, discourse, recourse, intercourse, source, resource","orse, urse","worse, purse, horse, endorse"
"ord","ord","cord, lord, record, accord, abhorr'd","oard, ord, ird, or'd, ur'd, irr'd, ored, ured, irred","hoard, board, aboard, ford, afford, sword, word, surd, bird, bor'd, incur'd, stirr'd, bored, incurred, stirred"
"ore","ore, oar","bore, core, gore, lore, more, ore, pore, score, shore, snore, sore, store, swore, tore, wore, adore, afore, ashore, deplore, explore, implore, restore, forbore, foreswore, heretofore, hellebore, sycamore, boar, goar, oar, roar, soar, four, door, floor, o'er","our, ow'r, ur, oor, or","hour, sour, pow'r, show'r, bur, cur, poor, your, abhor, orator, senator, or, for, creditor, counsellor, confessor, competitor, emperor, ancestor, ambassador, progenitor, conspirator, successor, conqueror, governor, abhor, metaphor, bachelor, orator"
"orge","orge","gorge, disgorge, regorge","orge, urge, irge","forge, urge, dirge"
"ork","ork","ork, cork, fork, stork","ork","pork, work"
"orld","orld, url'd, urled","world, hurl'd, curl'd, hurled, curled",NA,NA
"orm","orm","form, storm, warm, swarm, conform, deform, inform, perform, reform, misinform, uniform, multiform, transform","orm","form, worm"
"orn","orn","born, corn, morn, horn, scorn, thorn, adorn, suborn, unicorn, capricorn","orn, ourn, urn","orn, shorn, mourn, urn, turn"
"orn","orn","born, shorn, torn, worn, lorn, forlorn, lovelorn, sworn, foresworn, overburn, forborn, mourn","orn, urn","born, corn, urn, turn"
"orse","orse, orce","force, divorce, enforce, perforce, corse, coarse, hoarse, course, discourse, recourse, intercourse, source, resource, horse, endorse, unhorse","orse, oarse, urse, orse","worse, curse, remorse, coarse, course, corse"
"orst","urst, orst","burst, curst, durst, accurst, thirst, worst, first",NA,NA
"ort","ort","short, sort, exhort, consort, distort, extort, resort, retort, snort, wart","ort, irt, urt, art","fort, port, court, report, dirt, shirt, wort, hurt, art, cart, dart, hart, mart, part, smart, tart, start, apart, depart,impart, dispart, counterpart, heart"
"ort","ort","fort, port, sport, comport, disport, export, import, support, transport, report","ort, irt","short, sort, dirt, hurt"
"orth","orth","forth, fourth","orth, irth, earth","north, worth, birth, earth"
"ose","ose","close, dose, jocose, morose, gross, engross, verbose","oss, us","moss, cross, us, thus"
"ose","ose, ows, oes","close, dose, hose, pose, chose, glose, froze, nose, prose, those, rose, compose, depose, disclose, dispose, discompose, expose, impose, inclose, interpose, oppose, propose, recompose, repose, suppose, transpose, arose, presuppose, foreclose, rows, glows, foes, goes","ows","choose, lose, cows, buzz"
"oss","oss","boss, loss, cross, dross, moss, loss, across, imboss","ose, us","close, dose, jocose, us, thus"
"ost","ost, oss'd, aust, ossed","cost, frost, lost, accost, moss'd, imboss'd, mossed, imbossed, exhaust, holocaust","ost, oast, ust, oos'd, oosed","ghost, host, post, compost, most, roast, boast, toast, bust, must, roost, loos'd, loosed"
"ot","ot","clot, cot, blot, got, hot, jot, lot, knot, not, plot, pot, scot, shot, sot, spot, apricot, trot, rot, grot, begot, forgot, allot, besot, complot, counterplot","ote, oat, ut","note, vote, boat, coat, but, cut"
"otch","otch","botch, notch, watch","uch","much, such"
"ote","ote, oat","note, vote, mote, quote, rote, wrote, smote, denote, promote, remote, devote, anecdote, antedote, boat, coat, bloat, doat,  float, gloat, goat, oat, overfloat, afloat, throat, moat","out, ot, ut, oot","bout, flout, hot, cot, but, cut, boot, hoot"
"oth","oth","broth, bloth, froth, moth, troth, betroth, wrath","oth, oath, owth","both, loth, sloth, oath, growth, forsooth, tooth, youth, sooth, uncouth, mouth, doth"
"ou","oo, ew","coo, woo, shoe, two, too, who, do, ado, undo, through, you, true, blue, flew, stew","ow","know, blow, go, toe"
"oubt","out, oubt","bout, stout, out, clout, pout, grout, grout, rout, scout, shout, snout, spout, stout, sprout, trout, about, devout, without, throughout, doubt, redoubt, misdoubt, drought","ote, oat, ute, uit, ot, ut, oot","note, vote, boat, coat, lute, suit, got, not, nut, shut, hoot, boot"
"ouch","ouch","couch, pouch, vouch, slouch, avouch, crouch","uch, oach","much, such, coach, roach"
"oud","oud","skroud, cloud, loud, proud, aloud, croud, o'ershroud, bow'd, vow'd, bowed, vowed","ow'd, owed, ood, ud","ow'd, flow'd, owed, flowed, blood, flood, bud, mud"
"ove","ove","wove, inwove, interwove, alcove, clove, grove, rove, stove, strove, throve, drove","ove","dove, love, shove, glove, above, move, behove, approve, disprove, disapprove, improve, groove, prove, reprove"
"ough","off, ow, uff, ough","off, scoff, cough, trough, blow, stow, crow, bow, flow, glow, grow, know, low, mow, row, show, sow, strow, stow, slow, snow, throw, trow, below, bestow, foreknow, outgrow, overgrow, overflow, overthrow, reflow, foreshow, go, no, toe, foe, owe, wo, oh, so, lo, though, hoe, ho, ago, forego, undergo, dough, roe, sloe, sewbuff, cuff, bluff, huff, gruff, luff, puff, snuff, stuff, ruff, rebuff, counterbuff, rough, tough, enough, slough, chough","oaf, oof","oaf, loaf, proof, roof"
"ought","ought","bought, thought, ought, brought, forethought, fought, nought, sought, wrought, besought, bethought, methought, aught, naught, caught, taught, draught","ot, ote, utt, ut, oot","not, yacht, note, vote, butt, hut, hoot, root"
"oul","owl, oul, ole","cowl, growl, owl, fowl, howl, prowl, scoul, foul","owl, oul, ole, ull","bowl, soul, hole, bole, dole, jole, mole, pole, sole, stole, whole, shole, cajole, condole, parole, patrole, pistole, coal, foal, goal, soal, droll, prowl, roll, scroll, toll, troll, control, enroll, toll, roll, goal, dull, gull"
"ould","ould, old, owl'd, oll'd, ol'd, owled, olled, oled","mould, fold, old, cold, bowl'd, bowled, toll'd, tolled, cajol'd, cajoled","ull'd, ulled","gull'd, pull'd, gulled, pulled"
"ounce","ounce","bounce, flounce, renounce, pounce, ounce, denounce, pronounce",NA,NA
"ound","ound, own'd, owned","bound, found, mound, ground, hound, pound, round, sound, wound, abound, aground, around, confound, compound, expound, profound, rebound, redound, resound, propound, surround, frown'd, frowned, renown'd, renowned","on'd, oan'd, unn'd, oned, oaned, unned, und","ton'd, moan'd, toned, moaned, sunn'd, sunned, fund, refund, wound"
"oung","oung, ung","clung, dung, flung, hung, rung, strung, sung, sprung, slung, stung, swung, wrung, unsung, young, tongue, among","ong","song, long"
"ount","ount","count, fount, mount, amount, dismount, remount, surmount, account, discount, miscount, account","ant, ont, on't","want, font, don't, won't"
"oup","oop, oup","loop, poop, scoop, stoop, troop, droop, whoop, coop, hoop, soup, groupe","upe, up, op, ope","dupe, up, sup, tup, cop, top, cope, hope"
"our","our, ower, ow'r","hour, lour, sour, our, scour, deflour, devour, bower, cower, flower, power, shower, tower, bow'r, tow'r","ore, oar, oor, ure, ir, ur","bore, more, roar, pour, tour, poor, moor, pure, sure, sir, stir, bur, cur"
"ourge","ourge, urge, erge","purge, urge, surge, scourge, verge, diverge","orge","gorge, george, forge"
"ourn","orn, urn","born, shorn, torn, worn, lorn, forlorn, lovelorn, sworn, foresworn, overburn, forborn, mourn, burn, churn, spurn, turn, urn, return, overturn, sojourn, adjourn, rejourn",NA,NA
"ours","ours, ow'rs, owers","hours, scours, deflours, bow'rs, bowers, show'rs, showers","oors, ures","boors, moors, cures, endures"
"ours","ours, ures","yours, cures, endures","ours, oors, ores, urs, irs","ours, hours, scours, deflours, bow'rs, bowers, show'rs, showers, boors, moors, shores, pores, burs, slurs, stirs"
"ourse","orce, orse, ourse, oarse, ource","force, divorce, enforce, perforce, corse, coarse, hoarse, course, discourse, recourse, intercourse, source, resource","orse, urse","worse, purse, horse, endorse"
"ourt","ort, ourt","fort, port, sport, comport, disport, export, import, support, transport, report","ort, irt","short, sort, dirt, hurt"
"ourth","orth, ourth","forth, fourth","orth, irth, earth","north, worth, birth, earth"
"ous","us, uss, ous","us, thus, buss, truss, discuss, incubus, overplus, amorous, boisterous, clamorous, credulous, dangerous, degenerous, generous, emulous, fabulous, frivolous, hazardous, idolatrous, infamous, miraculous, mischievous, mountainous, mutinous, necessitous, numerous, ominous, perilous, poisonous, populous, prosperous, ridiculous, riotous, ruinous, scandalous, scrupulous, sedulous, traitorous, treacherous, tyrannous, venomous, vigorous, villainous, adventurous, adulterous, ambiguous, blasphemous, dolorous, fortuitous, sonorous, gluttonous, gratuitous, incredulous, lecherous, libidinous, magnanimous, obstreperous, odoriferous, ponderous, ravenous, rigorous, slanderous, solicitous, timorous, valorous, unanimous, calamitous","use, oose, uce, ose, ouse","use, abuse, diffuse, excuse, loose, goose, deuce, juice, truce, close, dose, verbose, house, mouse"
"ous","ouse","house, mouse, chouse","ose, use, uce, us, oose","close, dose, jocose, duce, use, produce, us, thus, moose, noose"
"ouse","owze, owse, ouse, ows","blowse, browse, trouse, rouse, spouse, carouse, rouse, espouse, house, mouse, brows, allows","ose","hose, those, dose"
"out","out, oubt","bout, stout, out, clout, pout, grout, grout, rout, scout, shout, snout, spout, stout, sprout, trout, about, devout, without, throughout, doubt, redoubt, misdoubt, drought","ote, oat, ute, uit, ot, ut, oot","note, vote, boat, coat, lute, suit, got, not, nut, shut, hoot, boot"
"outh","outh","mouth, south","ooth","booth, smooth, sooth"
"ow","ow, ough","now, bow, how, mow, cow, brow, plow, sow, vow, prow, avow, allow, disallow, endow, bough, plough, slough, thou","o, ow","go, no, blow, sow"
"ow","ow, oe, owe, o","blow, stow, crow, bow, flow, glow, grow, know, low, mow, row, show, sow, strow, stow, slow, snow, throw, trow, below, bestow, foreknow, outgrow, overgrow, overflow, overthrow, reflow, foreshow, go, no, toe, foe, owe, wo, oh, so, lo, though, hoe, ho, ago, forego, undergo, dough, roe, sloe, sew","ow","now, cow, bow, how, mow, cow, brow, plow, sow, vow, prow, avow, allow, disallow, endow, bough, plough, slough, thou"
"owl","owl, oul, ole","cowl, growl, owl, fowl, howl, prowl, scoul, foul","owl, oul, ole, ull","bowl, soul, hole, bole, dole, jole, mole, pole, sole, stole, whole, shole, cajole, condole, parole, patrole, pistole, coal, foal, goal, soal, droll, prowl, roll, scroll, toll, troll, control, enroll, toll, roll, goal, dull, gull"
"own","own","brown, town, clown, crown, down, drown, frown, gown, adown, renown, embrown, noun","one, oan, own","tone, bone, own, shone, blown, prone, bone, drone, throne, alone, stone, tone, lone, zone, atone, enthrone, dethrone, postpone, grown, flown, disown, thrown, sown, own, loan, shown, overthrown, grown, moan, known"
"owse","owse, ouse, ows","blowse, browse, trouse, rouse, spouse, carouse, rouse, espouse, house, mouse, brows, allows","ose","hose, those, dose"
"owze","owse, ouse, ows","blowse, browse, trouse, rouse, spouse, carouse, rouse, espouse, house, mouse, brows, allows","ose","hose, those, dose"
"ox","ox, ocks","ox, box, fox, equinox, orthodox, heterodox, locks, stocks","okes, oaks, ucks","strokes, oaks, cloaks, sucks"
"oy","oy","boy, buoy, coy, employ, cloy, joy, toy, alloy, annoy, convoy, decoy, destroy, enjoy, employ",NA,NA
"oze","oze, ose, ows, oes","close, dose, hose, pose, chose, glose, froze, nose, prose, those, rose, compose, depose, disclose, dispose, discompose, expose, impose, inclose, interpose, oppose, propose, recompose, repose, suppose, transpose, arose, presuppose, foreclose, rows, glows, foes, goes","ows","choose, lose, cows, buzz"
"ub","ub","cub, club, dub, chub, drub, grub, rub, snub, shrub, tub","ube, ob","cube, tube, cob, rob"
"ube","ube","cube, tube","ub","club, cub"
"uce","uce","truce, sluce, spruce, deuce, conduce, deduce, induce, introduce, produce, seduce, traduce, juice, reduce, use, abuse, profuse, abstruse, disuse, excuse, misuse, obtuse, recluse",NA,NA
"uch","uch, utch","hutch, crutch, dutch, much, such, touch, retouch",NA,NA
"uck","uck","buck, luck, pluck, suck, struck, tuck, truck, duck","uke, ook","puke, duke, look, took"
"uct","uct, uck'd, ucked","conduct, deduct, instruct, obstruct, aqueduct, duck'd, suck'd, ducked, sucked","uk'd, ook'd, uked, ooked","puk'd, hook'd, puked, hooked"
"ud","ud","bud, scud, stud, mud, cud, blood, flood","ood, ude","good, hood, rood, food, beatitude, latitude"
"ude","ude, eud, ew'd, ewed","rude, crude, prude, allude, conclude, delude, elude, exclude, exude, include, intrude, obtrude, seclude, altitude, fortitude, gratitude, interlude, latitude, longitude, magnitude, multitude, solicitude, solitude, vicissitude, aptitude, habitude, ingratitude, ineptitude, lassitude, plenitude, promptitude, servitude, similitude, leud, feud, stew'd, view'd, stewed, viewed","ud, ood","bud, cud, good, hood, blood, flood"
"udge","udge","judge, drudge, grudge, trudge, adjudge, prejudge",NA,NA
"ue","ue, ew","blew, chew, dew, brew, drew, flew, few, grew, new, knew, hew, Jew, mew, view, threw, yew, crew, slew, anew, askew, bedew, eschew, renew, review, withdrew, screw, interview, clue, due, cue, glue, hue, rue, sue, true, accrue, ensue, endue, imbue, imbrue, pursue, subdue, adieu, purlieu, perdue, residue, avenue, revenue, retinue",NA,NA
"uff","uff, ough","buff, cuff, bluff, huff, gruff, luff, puff, snuff, stuff, ruff, rebuff, counterbuff, rough, tough, enough, slough, chough","oaf","loaf, oaf"
"uft","uft, uff'd, uffed","tuft, cuff'd, stuff'd, cuffed, stuffed",NA,NA
"ug","ug","lug, bug, dug, drug, hug, rug, slug, snug, mug, shrug, pug","ogue","vogue, rogue"
"uice","uice, use, uce","use, disuse, abuse, deuce, truce, loose, goose, noose, moose","us, uss","us, thus, buss"
"uide","uide, ide, ied","bide, chide, hide, glide, pride, ride, slide, side, stride, tide, wide, bride, abide, guide, aside, astride, beside, bestride, betide, confide, decide, deride, divide, preside, provide, subside, misguide, subdivide, died, replied, sigh'd","ead, id","bead, mead, bid, hid"
"uild","uild, ild, uild, ill'd, illed","gild, build, rebuild, fill'd,  will'd, filled, willed","ild","child, mild"
"uilt","uilt, ilt","gilt, jilt, built, quilt, guilt, hilt, spilt, stilt, tilt",NA,NA
"uint","uint, int","dint,  mint, hint,  flint, lint, print, squint, asquint, imprint",NA,NA
"uise","uise,  ise, ize, ies","prize, wise, rise, size, guise, disguise, advise, authorize, canonize, chastise, civilize, comprise, criticise, despise, devise, enterprize, excise, exercise, idolize, immortalize, premise, revise, signalize, solemnize, surprize, surprise, surmise, suffice, sacrifice, sympathize, sympathise, tyrannize, pies, lies, replies","iss","miss, hiss, precipice"
"uie","uie, ie, ie, y","by, buy, cry, die, dry, eye, fly, fry, fie, hie, lie, pie, ply, pry, rye, shy, sly, spy, shy, sty, tie, try, vie, why, ally, apply, awry, bely, comply, decry, defy, descry, deny, imply, espy, outvie, outfly, rely, reply, supply, untie, amplify, beautify, certify, crucify, deify, dignify, edify, falsify, fortify, gratify, glorify, indemnify, justify, magnify, modify, mollify, mortify, pacify, petrify, purify, putrify, qualify, ratify, rectify, sanctify, satisfy, scarify, signify, specify, stupify, terrify, testify, verify, villify, vitrify, vivify, prophecy, high, nigh, sigh, thigh","ee, ea","bee, she, tea, sea, pleurisy, chymistry, chemistry, academy, apostacy, conspiracy, confederacy, ecstasy, democracy, embassy, fallacy, legacy, supremacy, lunacy, privacy, piracy, malady, remedy, tragedy, comedy, cosmography, geography, geometry, elegy, certainty, sovereignty, loyalty, disloyalty, penalty, casualty, ribaldry, chivalry, infamy, constancy, fealty, cavalry, bigamy, poligamy, vacancy, inconstancy, infancy, company, accompany, dittany, tyranny, villany, anarchy, monarchy, lethargy, incendiary, infirmary, library, salary, sanctuary, cotary, auxiliary, contrary, diary, granary, rosemary, urgency, infantry, knavery, livery, recovery, robbery, novelty, antipathy, apathy, sympathy, idolatry, galaxy, husbandry, cruelty, enemy, blasphemy, prophecy, clemency, decency, inclemency, emergency, regency, progeny, energy, poverty, liberty, property, adultery, artery, artillery, battery, beggary, bribery, bravery, delivery, drudgery, flattery, gallery, imagery, lottery, misery, mystery, nursery, raillery, slavery, sorcery, treachery, discovery, tapestry, majesty, modesty, immodesty, honesty, dishonesty, courtesy, heresy, poesy, poetry, secresy, leprosy, perfidy, subsidy, drapery, symmetry, drollery, prodigy, policy, mutiny, destiny, scrutiny, hypocrisy, family, ability, activity, avidity, assiduity, civility, community, concavity, consanguinity, conformity, congruity, diuturnity, facility, falsity. familiarity, formality, generosity, gratuity, humidity , absurdity, activity, adversity, affability, affinity, agility, alacrity, ambiguity, animosity, antiquity, austerity, authority, brevity, calamity, capacity, captivity, charity, chastity, civility, credulity, curiosity, finery, declivity, deformity, duty, dexterity, dignity, disparity, diversity, divinity, enmity, enormity, equality, equanimity, equity, eternity, extremity, fatality, felicity, fertility, fidelity, frugality, futurity, gravity, hostility, humanity, humility, immunity, immaturity, immensity, immorality, immortality, immunity, immutability, impartiality, impossibility, impetuosity, improbity, inanity, incapacity, incivility, incongruity, inequality, indemnity, infinity, inflexibility, instability, invalidity, jollity, lenity, lubricity, magnanimity, majority, mediocrity, minority, mutability, nicety, perversity, perplexity, perspicuity, prosperity, privity, probability, probity, propensity, rarity, rapidity, sagacity, sanctity, sensibility, sensuality, solidity, temerity, timidity, tranquillity, virginity, visibility, university, trumpery, apology, genealogy, etymology, simony, symphony, soliloquy, allegory, armory, factory, pillory, faculty, treasury, usury, augury, importunity, impunity, impurity, inaccuracy, inability, incredulity, indignity, infidelity, infirmity, iniquity, integrity, laity, liberality, malignity, maturity, morality, mortality, nativity, necessity, neutrality, nobility, obscurity, opportunity, partiality,perpetuity, prosperity, priority, prodigality, purity, quality, quantity, scarcity, security, severity, simplicity, sincerity, solemnity, sterility, stupidity, Trinity, vacuity, validity, vanity, vivacity, unanimity, uniformity, unity, anxiety, gaiety, impiety, piety, satiety, sobriety, society, variety, customary, melody, philosophy, astronomy, anatomy, colony, gluttony, harmony, agony, gallantry, campy, history, memory, victory, calumny, injury, luxury, penury, perjury,usury, industry"
"uke","uke","duke, puke, rebuke, cook, look, book","uck","duck, buck"
"ul","ull, ull","cull, dull, gull, hull, lull, mull, null, trull, skull, annul, disannul","ool, ull, ul","fool, tool, wool, bull, pull, full, bountiful, fanciful, sorrowful, dutiful, merciful, wonderful, worshipful"
"ull","ull","cull, dull, gull, hull, lull, mull, null, trull, skull, annul, disannul","ool, ull, ul","fool, tool, wool, bull, pull, full, bountiful, fanciful, sorrowful, dutiful, merciful, wonderful, worshipful"
"ule","ule","mule, pule, yule, rule, overrule, ridicule, misrule","ull, ool, ul","cull, dull, wool, full, bountiful, fool, tool, bull, pull, full, fanciful, sorrowful, dutiful, merciful, wonderful, worshipful"
"ulge","ulge","bulge, indulge, divulge",NA,NA
"ulk","ulk","bulk, hulk, skulk",NA,NA
"ulse","ulse","pulse, repulse, impulse, expulse, convulse",NA,NA
"ult","ult","result, adult, exult, consult, indult, occult, insult, difficult","olt","colt, bolt"
"um","um, umb","crum, drum, grum, gum, hum, mum, scum, plum, stum, sum, swum, thrum, thumb, dumb, succumb, come, become, overcome, burthensome, cumbersome, frolicksome, frolicsome, humoursome, quarrelsome, troublesome, martyrdom, christendom","ume, oom","fume, plume, rheum, room, doom, tomb, hecatomb"
"ume","ume","fume, plume, assume, consume, perfume, resume, presume, deplume",NA,NA
"ump","ump","bump, pump, jump, lump, plump, rump, stump, trump, thump, clomp",NA,NA
"un","un","dun, gun, nun, pun, run, sun, shun, tun, stun, spun, begun, son, won, ton, done, one, none, undone","on, une","on, gone, don, con, upon, anon, undergone, tune, prune"
"unce","unce","dunce, once","once","sconce"
"unch","unch","bunch, punch, hunch, lunch, munch",NA,NA
"und","und, unn'd, unned","fund, refund, shunn'd, shunned",NA,NA
"une","une, oon","june, tune, untune, jejune, prune, importune, moon, soon","un","bun, dun"
"ung","ung","clung, dung, flung, hung, rung, strung, sung, sprung, slung, stung, swung, wrung, unsung, young, tongue, among","ong","song, long"
"unge","unge","plunge, spunge, expunge",NA,NA
"unk","unk","drunk, sunk, shrunk, stunk, spunk, punk, trunk, slunk, monk",NA,NA
"unt","unt","brunt, blunt, hunt, runt, grunt, wont",NA,NA
"up","up","cup, sup, up","ope, upe","cope, sope, dupe, groupe"
"upt","upt, upp'd, upped","abrupt, corrupt, interrupt, supp'd, supped",NA,NA
"ur","ur, ir","blur, cur, bur, fur, slur, spur, concur, demur, incur, sir, stir, fir","ore, oar","pore, ore"
"urb","urb, erb","curb, disturb, verb, herb","orb","orb"
"urch","urch","church, lurch, birch, perch, search","orch","porch"
"urd","urd, urr'd, urred","curd, absurd, bird, word, spurr'd, spurred","oard, ord, or'd, ored, oar'd, oared, orr'd, orred, ur'd, ured","board, ford, cord, lord, gor'd, oar'd, abhorr'd, record, accord, gored, oared, abhorred, cur'd, immur'd, cured, immured SEE ORD"
"ure","ure","cure, pure, dure, lure, sure, abjure, allure, assure, demure, conjure, endure, manure, enure, insure, immature, immure, mature, obscure, procure, secure, adjure, calenture, coverture, epicure, investiture, forfeiture, furniture, miniature, nouriture, overture, portraiture, primogeniture, temperature","oor, our, ur","poor, moor, power, sour, cur, hur"
"urf","urf","turf, scurf",NA,NA
"urge","urge, erge","purge, urge, surge, scourge, verge, diverge","orge","gorge, george, forge"
"urk","urk","lurk, turk, work, irk, jerk, perk",NA,NA
"url","url, irl","churl, curl, furl, hurl, purl, uncurl, unfurl, girl, twirl, pearl, whirl",NA,NA
"urn","urn","burn, churn, spurn, turn, urn, return, overturn, sojourn, adjourn, rejourn",NA,NA
"urse","urse","nurse, curse, purse, accurse, disburse, imburse, reimburse, worse","oarse, orce, orse, erse","coarse, corse, force, verse, disperse, horse"
"urst","urst","burst, curst, durst, accurst, thirst, worst, first",NA,NA
"urt","urt, irt","blurt, hurt, spurt, dirt, shirt, flirt, squirt","ort","port, court, short, snort"
"us","us, uss, ous","us, thus, buss, truss, discuss, incubus, overplus, amorous, boisterous, clamorous, credulous, dangerous, degenerous, generous, emulous, fabulous, frivolous, hazardous, idolatrous, infamous, miraculous, mischievous, mountainous, mutinous, necessitous, numerous, ominous, perilous, poisonous, populous, prosperous, ridiculous, riotous, ruinous, scandalous, scrupulous, sedulous, traitorous, treacherous, tyrannous, venomous, vigorous, villainous, adventurous, adulterous, ambiguous, blasphemous, dolorous, fortuitous, sonorous, gluttonous, gratuitous, incredulous, lecherous, libidinous, magnanimous, obstreperous, odoriferous, ponderous, ravenous, rigorous, slanderous, solicitous, timorous, valorous, unanimous, calamitous","use, oose, uce, ose, ouse","use, abuse, diffuse, excuse, loose, goose, deuce, juice, truce, close, dose, verbose, house, mouse"
"use","uce","use, disuse, abuse, deuce, truce, loose, goose, noose, moose","us, uss","us, thus, buss"
"use","use, ews, ues","muse, use, abuse, amuse, diffuse, excuse, infuse, misuse, peruse, refuse, suffuse, transfuse, accurse, bruise, dews, imbues, lose, choose, shoes","uzz, oes","buzz, does"
"ush","ush","blush, brush, crush, gush, flush, rush, hush","ush","bush, push"
"usk","usk","bust, tusk, dusk, husk, musk",NA,NA
"ust","ust, uss'd, ussed","bust, crust, dust, just, must, lust, rust, thrust, trust, adjust, adust, disgust, distrust, intrust, mistrust, robust, unjust, truss'd, discuss'd, trussed, discussed",NA,NA
"ut","ut, utt","but, butt, cut, hut, gut, glut, jut, nut, shut, strut, englut, rut, scut, slut, smut, abut, soot","oot, ute, oat, ote","boot, hoot, lute, dispute, boat, mote"
"utch","utch","hutch, crutch, dutch, much, such, touch, retouch",NA,NA
"ute","ute, uit","brute, lute, flute, mute, acute, compute, confute, dispute, dilute, depute, impute, minute, pollute, refute, repute, salute, absolute, attribute, constitute, destitute, dissolute, execute, institute, irresolute, persecute, prosecute, prostitute, resolute, substitute, fruit, bruit, suit, recruit","oot, oat, ote, ut","boot, hoot, boat, goat, note, vote, but, hut, soot"
"ux","ux, ucks","flux, reflux, ducks, trucks","ooks, ukes, oaks, okes","cooks, pukes, oaks, jokes"
